InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
10001,A101,Ceramic Mug,2,2023-01-05 10:00:00,8.50,1001,United Kingdom
10001,A102,Gift Wrap,1,2023-01-05 10:00:00,2.00,1001,United Kingdom
10002,B201,Desk Clock,1,2023-01-20 09:30:00,22.00,1002,France
10003,C301,Candle Set,3,2023-02-08 15:45:00,6.00,1001,United Kingdom
10004,A101,Ceramic Mug,4,2023-02-14 12:20:00,8.50,1003,Germany
10005,D401,Canvas Bag,2,2023-03-02 11:00:00,12.00,1002,France
10006,E501,Photo Frame,2,2023-03-16 14:10:00,10.00,1004,United Kingdom
10007,B201,Desk Clock,1,2023-04-04 16:00:00,22.00,1001,United Kingdom
10008,C301,Candle Set,5,2023-04-17 10:30:00,6.00,1003,Germany
10009,A102,Gift Wrap,10,2023-05-06 13:10:00,2.00,1004,United Kingdom
10010,D401,Canvas Bag,1,2023-05-22 09:15:00,12.00,1005,Spain
10011,A101,Ceramic Mug,3,2023-06-03 12:00:00,8.50,1001,United Kingdom
10012,E501,Photo Frame,1,2023-06-19 17:35:00,10.00,1002,France
10013,C301,Candle Set,2,2023-07-07 11:25:00,6.00,1003,Germany
10014,B201,Desk Clock,2,2023-07-21 15:00:00,22.00,1005,Spain
10015,D401,Canvas Bag,3,2023-08-09 10:40:00,12.00,1001,United Kingdom
10016,A101,Ceramic Mug,1,2023-08-28 14:00:00,8.50,1004,United Kingdom
10017,E501,Photo Frame,4,2023-09-12 09:50:00,10.00,1003,Germany
10018,C301,Candle Set,3,2023-09-29 16:20:00,6.00,1005,Spain
C10019,A101,Ceramic Mug,-1,2023-09-30 10:00:00,8.50,1004,United Kingdom
10020,A102,Gift Wrap,2,2023-10-11 13:00:00,2.00,,United Kingdom
10021,D401,Canvas Bag,0,2023-10-15 08:45:00,12.00,1002,France
10022,E501,Photo Frame,2,2023-10-26 14:25:00,0.00,1001,United Kingdom
10018,C301,Candle Set,3,2023-09-29 16:20:00,6.00,1005,Spain

